PersonID	x	y	Time	Width	Distance	Error
0	0.484322	-0.3125935	0.9889374	1.5	30	0
0	0.2823941	-0.4393477	1.144104	1.5	30	0
0	0.4897546	-0.2943152	0.9557953	1.5	30	0
0	-0.9421223	0.6520342	1.255737	1.5	30	1
0	-0.08799873	0.4768044	1.144653	1.5	30	0
0	0.4879483	-0.2478014	1.044556	1.5	30	0
0	-0.1313985	-0.006218724	1.166565	1.5	30	0
0	0.03459506	0.1543913	0.9778748	1.5	30	0
0	-0.535143	0.03267639	0.9667664	1.5	30	0
0	0.3537214	0.0773155	0.888916	1.5	30	0
0	0.4288303	0.2700349	1.04454	1.5	30	0
0	0.462182	-0.5231306	1.111786	1.5	30	0
0	1.059289	0.1476953	1.021698	1.5	30	1
0	-0.5538177	-0.1723858	1.13327	1.5	30	0
0	0.2029388	-0.5547561	1.055618	1.5	30	0
0	-0.8052101	-0.6654872	0.9445801	1.5	30	1
0	-0.5427647	-0.3650042	1.100235	1.5	30	0
0	0.2175881	-0.5189443	1.055557	1.5	30	0
0	-0.4128192	-0.2530906	1.144653	1.5	30	0
0	-0.1358303	-0.3187636	1.133072	1.5	30	0
0	0.6739314	0.5944679	1.111076	1.5	35	1
0	-0.9936271	0.224653	1.189072	1.5	35	1
0	0.6136054	-0.1252888	1.133484	1.5	35	0
0	0.323087	0.1632841	1.111137	1.5	35	0
0	0.03759732	0.1943871	1.133301	1.5	35	0
0	-0.4573294	0.4353175	1.100204	1.5	35	0
0	-0.2005458	0.09515286	0.9889984	1.5	35	0
0	0.3777662	0.3068139	0.9445724	1.5	35	0
0	-0.004743306	-0.2004146	1.088829	1.5	35	0
0	-0.06600031	-0.2942366	0.966713	1.5	35	0
0	-0.4128464	-0.189275	1.121872	1.5	35	0
0	-0.5684319	0.1079173	1.055519	1.5	35	0
0	0.1938945	-0.7136312	1.045151	1.5	35	0
0	0.361659	0.3554773	1.155624	1.5	35	0
0	0.1743644	0.3444975	1.100052	1.5	35	0
0	0.2724471	-0.5791494	0.9889145	1.5	35	0
0	0.247466	0.1308541	1.133369	1.5	35	0
0	0.1974338	-0.03522704	1.077934	1.5	35	0
0	-0.251862	0.4431912	1.144493	1.5	35	0
0	1.016456	-0.8872612	1.044579	1.5	35	1
0	-0.8140867	0.03128595	1.133316	1.5	40	1
0	-0.2669039	0.4231466	1.355759	1.5	40	0
0	0.6270394	0.3800142	1.066727	1.5	40	0
